epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,460.766,0.93141,2.43266,0.39768,0.5649,0.16416,0.19168,0.12459,0.91469,0.73318,0.23854,0.00332928,0.00332928,0.00332928
2,911.046,0.7391,0.72777,0.19833,0.56537,0.42245,0.41898,0.25654,0.88551,0.58266,0.17245,0.00661864,0.00661864,0.00661864
3,1364.56,0.84078,0.55428,0.20324,0.67933,0.51098,0.53732,0.33706,0.96206,0.51406,0.20383,0.009864,0.009864,0.009864
4,1814.49,0.90332,0.49766,0.20838,0.74599,0.58128,0.62388,0.37058,0.87633,0.52193,0.16808,0.009802,0.009802,0.009802
5,2269.21,0.83194,0.49057,0.18665,0.73866,0.56594,0.60848,0.36212,0.94465,0.51032,0.18276,0.009736,0.009736,0.009736
6,2722.59,0.80932,0.48691,0.1792,0.79761,0.60103,0.66127,0.42217,0.88491,0.5025,0.15864,0.00967,0.00967,0.00967
7,3177.19,0.79508,0.48147,0.16801,0.80729,0.637,0.69313,0.45774,0.79036,0.49496,0.14529,0.009604,0.009604,0.009604
8,3634.67,0.75502,0.48414,0.16308,0.80603,0.63533,0.69329,0.46637,0.77336,0.5095,0.13902,0.009538,0.009538,0.009538
9,4092.53,0.70311,0.49215,0.15082,0.80242,0.63939,0.69637,0.45708,0.79634,0.501,0.13794,0.009472,0.009472,0.009472
10,4544.97,0.67834,0.48785,0.1453,0.81358,0.64852,0.71316,0.478,0.75328,0.51263,0.1343,0.009406,0.009406,0.009406
11,5000.62,0.65342,0.48123,0.14302,0.80694,0.64739,0.71278,0.4817,0.76002,0.51789,0.1474,0.00934,0.00934,0.00934
12,5461.9,0.66502,0.48269,0.13901,0.8198,0.67159,0.73325,0.49321,0.75742,0.48471,0.14044,0.009274,0.009274,0.009274
13,5914.02,0.65213,0.47616,0.13658,0.82512,0.68016,0.74566,0.4897,0.71904,0.49875,0.12377,0.009208,0.009208,0.009208
14,6371.18,0.65452,0.47324,0.13437,0.8116,0.68447,0.74422,0.48482,0.71765,0.50942,0.12946,0.009142,0.009142,0.009142
15,6818.89,0.62377,0.47003,0.13064,0.82915,0.67604,0.74064,0.50018,0.71498,0.48819,0.12642,0.009076,0.009076,0.009076
16,7277.8,0.6173,0.46977,0.1292,0.8246,0.68517,0.74722,0.51215,0.69601,0.50077,0.12268,0.00901,0.00901,0.00901
17,7732.66,0.61715,0.47428,0.12751,0.82136,0.69409,0.75581,0.52578,0.65623,0.49647,0.11865,0.008944,0.008944,0.008944
18,8187.4,0.59936,0.47124,0.1267,0.81762,0.68347,0.74656,0.4888,0.70878,0.51037,0.11899,0.008878,0.008878,0.008878
19,8643.61,0.61138,0.46485,0.12603,0.83382,0.70543,0.76979,0.53379,0.65006,0.49108,0.11408,0.008812,0.008812,0.008812
