epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,506.863,1.6157,2.56002,1.56902,0.484,0.28602,0.29422,0.18947,1.38802,1.66076,1.21974,0.00332928,0.00332928,0.00332928
2,933.999,1.23219,1.38075,1.24533,0.50019,0.33984,0.34351,0.2196,1.37725,1.43852,1.20901,0.00661864,0.00661864,0.00661864
3,1364.01,1.28678,1.35091,1.2831,0.46645,0.27737,0.28507,0.17791,1.52617,2.01256,1.29357,0.009864,0.009864,0.009864
4,1789.64,1.30796,1.32301,1.29286,0.58499,0.43025,0.43881,0.27581,1.33016,1.25817,1.1855,0.009802,0.009802,0.009802
5,2217.64,1.2319,1.16598,1.24757,0.63837,0.46556,0.5018,0.32779,1.2743,1.14556,1.14992,0.009736,0.009736,0.009736
6,2645.32,1.1668,1.06166,1.21631,0.66679,0.4939,0.52145,0.34477,1.22897,1.04559,1.12941,0.00967,0.00967,0.00967
7,3070.95,1.12578,0.98611,1.19588,0.68194,0.50698,0.55666,0.36946,1.21465,1.12637,1.11215,0.009604,0.009604,0.009604
8,3497.48,1.08876,0.93949,1.17373,0.68255,0.51913,0.55915,0.37896,1.16814,1.0105,1.0945,0.009538,0.009538,0.009538
9,3923.65,1.06996,0.89769,1.15851,0.71091,0.54573,0.60419,0.41095,1.15792,1.00456,1.08836,0.009472,0.009472,0.009472
10,4350.21,1.05081,0.87208,1.15896,0.7479,0.55417,0.61541,0.4223,1.1389,0.91992,1.08163,0.009406,0.009406,0.009406
11,4775.62,1.02915,0.83752,1.14491,0.74862,0.58182,0.63989,0.43727,1.12707,0.84628,1.06946,0.00934,0.00934,0.00934
12,5202.98,1.01687,0.81001,1.13438,0.72054,0.56729,0.61701,0.43019,1.12825,0.8737,1.0734,0.009274,0.009274,0.009274
13,5628.18,0.9974,0.78729,1.12409,0.77252,0.59327,0.66085,0.46032,1.09557,0.84601,1.04942,0.009208,0.009208,0.009208
14,6053.65,0.97431,0.77012,1.11202,0.77338,0.59584,0.66016,0.46254,1.09363,0.80813,1.05128,0.009142,0.009142,0.009142
15,6481.19,0.96975,0.75378,1.10915,0.77309,0.62728,0.68693,0.4826,1.07394,0.75526,1.04388,0.009076,0.009076,0.009076
16,6907.63,0.97183,0.73578,1.10615,0.78846,0.6178,0.68284,0.48388,1.05995,0.77223,1.03396,0.00901,0.00901,0.00901
17,7333.13,0.96066,0.72817,1.10453,0.78195,0.61776,0.68663,0.48469,1.07285,0.77148,1.04201,0.008944,0.008944,0.008944
18,7759.76,0.94345,0.70385,1.09819,0.79391,0.62385,0.68766,0.48733,1.04912,0.77616,1.03526,0.008878,0.008878,0.008878
19,8187.06,0.93964,0.70403,1.09545,0.80134,0.63366,0.70879,0.49968,1.0448,0.76501,1.02284,0.008812,0.008812,0.008812
20,8614.21,0.923,0.67917,1.08285,0.80371,0.6351,0.70064,0.50141,1.04362,0.73927,1.02901,0.008746,0.008746,0.008746
21,9039.64,0.92436,0.67561,1.08463,0.81352,0.64997,0.72157,0.51493,1.03719,0.71537,1.02598,0.00868,0.00868,0.00868
22,9465.79,0.92219,0.67389,1.0811,0.80126,0.65445,0.71739,0.50977,1.04051,0.72618,1.03353,0.008614,0.008614,0.008614
23,9891.69,0.91203,0.66131,1.07778,0.80129,0.64209,0.71228,0.51168,1.02697,0.7584,1.02011,0.008548,0.008548,0.008548
24,10315.3,0.90482,0.6561,1.07606,0.80772,0.6671,0.73465,0.5269,1.02447,0.7064,1.02058,0.008482,0.008482,0.008482
25,10740,0.90228,0.64467,1.0686,0.81499,0.67522,0.73869,0.53168,1.01861,0.68516,1.01571,0.008416,0.008416,0.008416
26,11167.2,0.8972,0.63596,1.07015,0.81192,0.67314,0.74414,0.53322,1.01152,0.6899,1.00695,0.00835,0.00835,0.00835
27,11592.6,0.89134,0.62566,1.06726,0.81617,0.6743,0.74431,0.53623,1.00713,0.67276,1.01098,0.008284,0.008284,0.008284
28,12017.8,0.89479,0.62564,1.062,0.82262,0.67705,0.7478,0.54267,1.00032,0.67587,1.00892,0.008218,0.008218,0.008218
29,12443.4,0.8853,0.6155,1.06125,0.8256,0.67622,0.74963,0.54343,1.00345,0.65829,1.0077,0.008152,0.008152,0.008152
30,12868.7,0.87792,0.60747,1.05758,0.81512,0.69078,0.75358,0.5443,0.99948,0.66159,1.00642,0.008086,0.008086,0.008086
31,13294.6,0.87804,0.60413,1.05048,0.82863,0.68731,0.75899,0.54696,0.9952,0.64896,1.00233,0.00802,0.00802,0.00802
32,13720.7,0.8741,0.59843,1.05077,0.83221,0.69203,0.76285,0.55565,0.99267,0.64738,0.99963,0.007954,0.007954,0.007954
33,14147.4,0.87045,0.58994,1.05117,0.83549,0.68958,0.76603,0.55812,0.99022,0.64797,1.00239,0.007888,0.007888,0.007888
34,14573.9,0.86284,0.59458,1.04848,0.83077,0.68736,0.76514,0.55949,0.98817,0.65253,0.99957,0.007822,0.007822,0.007822
35,14999.3,0.85858,0.5865,1.04749,0.8299,0.70523,0.77449,0.56293,0.98643,0.62974,0.998,0.007756,0.007756,0.007756
36,15424.7,0.8501,0.57625,1.04084,0.83112,0.69811,0.76959,0.5621,0.98054,0.6373,0.99804,0.00769,0.00769,0.00769
37,15849.1,0.85274,0.57607,1.04499,0.83098,0.69596,0.77269,0.56506,0.98103,0.63118,0.9986,0.007624,0.007624,0.007624
38,16275.4,0.85624,0.57324,1.04114,0.83433,0.70847,0.78143,0.57268,0.97551,0.62609,0.9947,0.007558,0.007558,0.007558
39,16701,0.8453,0.56516,1.04134,0.83605,0.71114,0.78028,0.57129,0.97956,0.61411,0.99794,0.007492,0.007492,0.007492
40,17126.3,0.84618,0.56719,1.038,0.83922,0.71221,0.78181,0.57635,0.9717,0.60516,0.99372,0.007426,0.007426,0.007426
41,17551.8,0.84601,0.56106,1.0382,0.84543,0.71512,0.78842,0.58001,0.97313,0.62127,0.99555,0.00736,0.00736,0.00736
42,17976.7,0.8267,0.54627,1.03486,0.84224,0.71436,0.78826,0.57802,0.97205,0.61313,0.99341,0.007294,0.007294,0.007294
43,18401.3,0.83627,0.54944,1.02631,0.84557,0.71193,0.78876,0.58107,0.96721,0.60898,0.99203,0.007228,0.007228,0.007228
